Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1640750400000,2021-12-29 04:00:00,ZECUSD,150.36,150.66,141.0,145.0,2749.544819
1640664000000,2021-12-28 04:00:00,ZECUSD,162.06,162.06,148.39,150.36,3893.059868
1640577600000,2021-12-27 04:00:00,ZECUSD,167.91,173.55,161.38,162.06,4876.227083
1640491200000,2021-12-26 04:00:00,ZECUSD,164.0,168.43,163.29,167.91,1911.858962
1640404800000,2021-12-25 04:00:00,ZECUSD,165.6,172.35,164.0,164.0,3157.919445
1640318400000,2021-12-24 04:00:00,ZECUSD,166.25,170.71,163.1,165.6,4510.928646
1640232000000,2021-12-23 04:00:00,ZECUSD,164.61,170.0,156.77,166.25,7465.456716
1640145600000,2021-12-22 04:00:00,ZECUSD,164.0,167.62,164.0,164.61,814.853629
1640059200000,2021-12-21 04:00:00,ZECUSD,160.75,164.6,157.19,164.0,6153.040135
1639972800000,2021-12-20 04:00:00,ZECUSD,156.88,164.32,149.34,160.75,15158.685981
1639886400000,2021-12-19 04:00:00,ZECUSD,164.65,167.18,155.93,156.88,23299.988425
1639800000000,2021-12-18 04:00:00,ZECUSD,156.87,165.18,155.9,164.65,10819.030559
1639713600000,2021-12-17 04:00:00,ZECUSD,152.84,162.5,145.04,156.87,14478.531314
1639627200000,2021-12-16 04:00:00,ZECUSD,158.77,159.01,151.36,152.84,423.23695
1639540800000,2021-12-15 04:00:00,ZECUSD,149.84,162.35,143.67,158.77,19474.799376
1639454400000,2021-12-14 04:00:00,ZECUSD,148.82,155.85,143.87,149.84,11660.54741
1639368000000,2021-12-13 04:00:00,ZECUSD,166.4,171.15,145.0,148.82,21293.943886
1639281600000,2021-12-12 04:00:00,ZECUSD,166.38,172.69,161.46,166.4,13543.785295
1639195200000,2021-12-11 04:00:00,ZECUSD,161.61,171.25,161.0,166.38,7375.980814
1639108800000,2021-12-10 04:00:00,ZECUSD,168.45,174.16,156.17,161.61,9497.276261
1639022400000,2021-12-09 04:00:00,ZECUSD,176.47,176.47,161.95,168.45,5512.022645
1638936000000,2021-12-08 04:00:00,ZECUSD,171.04,182.58,166.56,176.47,19621.709764
1638849600000,2021-12-07 04:00:00,ZECUSD,181.27,185.87,170.73,171.04,11136.13735566
1638763200000,2021-12-06 04:00:00,ZECUSD,179.92,184.87,160.81,181.27,34719.81385026
1638676800000,2021-12-05 04:00:00,ZECUSD,186.4,187.86,170.57,179.92,49323.56105354
1638590400000,2021-12-04 04:00:00,ZECUSD,196.07,199.91,150.1,186.4,28495.46044667
1638504000000,2021-12-03 04:00:00,ZECUSD,221.51,238.03,196.0,196.07,37009.6419819
1638417600000,2021-12-02 04:00:00,ZECUSD,219.23,231.0,217.57,221.51,10239.53932018
1638331200000,2021-12-01 04:00:00,ZECUSD,224.36,238.39,215.5,219.23,18215.29679138
1638244800000,2021-11-30 04:00:00,ZECUSD,228.58,233.26,214.68,224.36,16974.19707661
1638158400000,2021-11-29 04:00:00,ZECUSD,242.69,255.17,226.79,228.58,22062.10254272
1638072000000,2021-11-28 04:00:00,ZECUSD,231.91,248.29,215.34,242.69,26036.74755005
1637985600000,2021-11-27 04:00:00,ZECUSD,262.77,272.3,227.21,231.91,54792.81321767
1637899200000,2021-11-26 04:00:00,ZECUSD,280.05,284.22,241.55,262.77,107584.39587591
1637812800000,2021-11-25 04:00:00,ZECUSD,267.97,304.86,261.55,280.05,37379.06221278
1637726400000,2021-11-24 04:00:00,ZECUSD,256.63,275.74,247.97,267.97,85145.31225388
1637640000000,2021-11-23 04:00:00,ZECUSD,209.98,259.55,195.72,256.63,44585.73195169
1637553600000,2021-11-22 04:00:00,ZECUSD,225.47,230.0,198.5,209.98,11208.227495
1637467200000,2021-11-21 04:00:00,ZECUSD,178.54,237.91,178.48,225.47,23434.93336533
1637380800000,2021-11-20 04:00:00,ZECUSD,184.46,189.25,172.69,178.54,4806.05750218
1637294400000,2021-11-19 04:00:00,ZECUSD,150.7,184.84,150.7,184.46,5730.61390649
1637208000000,2021-11-18 04:00:00,ZECUSD,157.5,157.5,141.92,150.7,4122.56016547
1637121600000,2021-11-17 04:00:00,ZECUSD,158.51,164.83,154.2,157.5,8890.18620455
1637035200000,2021-11-16 04:00:00,ZECUSD,186.34,186.34,157.0,158.51,11190.77827004
1636948800000,2021-11-15 04:00:00,ZECUSD,199.71,203.71,181.53,186.34,5302.24984529
1636862400000,2021-11-14 04:00:00,ZECUSD,197.35,204.78,192.64,199.71,2571.81973899
1636776000000,2021-11-13 04:00:00,ZECUSD,208.99,213.5,197.13,197.35,1424.84001606
1636689600000,2021-11-12 04:00:00,ZECUSD,204.47,210.7,198.73,208.99,1950.94528186
1636603200000,2021-11-11 04:00:00,ZECUSD,186.0,219.87,184.57,204.47,14123.96418669
1636516800000,2021-11-10 04:00:00,ZECUSD,193.15,203.48,171.68,186.0,8552.26784987
1636430400000,2021-11-09 04:00:00,ZECUSD,172.89,205.0,172.52,193.15,9242.08466724
1636344000000,2021-11-08 04:00:00,ZECUSD,166.12,175.0,163.31,172.89,4938.24422596
1636257600000,2021-11-07 04:00:00,ZECUSD,160.56,167.56,158.91,166.12,1527.46089523
1636171200000,2021-11-06 04:00:00,ZECUSD,165.95,166.57,155.78,160.56,3115.58676302
1636084800000,2021-11-05 04:00:00,ZECUSD,165.12,169.67,160.49,165.95,2003.08076908
1635998400000,2021-11-04 04:00:00,ZECUSD,165.69,165.69,160.38,165.12,1447.81720312
1635912000000,2021-11-03 04:00:00,ZECUSD,168.26,172.79,160.61,165.69,3001.57961145
1635825600000,2021-11-02 04:00:00,ZECUSD,175.47,180.0,167.59,168.26,2975.27352471
1635739200000,2021-11-01 04:00:00,ZECUSD,162.92,176.04,161.3,175.47,3861.67156571
1635652800000,2021-10-31 04:00:00,ZECUSD,165.82,187.5,161.68,162.92,7485.56733851
1635566400000,2021-10-30 04:00:00,ZECUSD,160.71,174.18,150.02,165.82,3361.09697879
1635480000000,2021-10-29 04:00:00,ZECUSD,160.84,163.92,156.77,160.71,2455.43780871
1635393600000,2021-10-28 04:00:00,ZECUSD,146.39,162.43,144.09,160.84,3926.39877449
1635307200000,2021-10-27 04:00:00,ZECUSD,161.38,161.38,144.8,146.39,768.34136311
1635220800000,2021-10-26 04:00:00,ZECUSD,170.8,170.87,158.6,161.38,2489.55715637
1635134400000,2021-10-25 04:00:00,ZECUSD,171.54,176.23,168.42,170.8,4636.48043791
1635048000000,2021-10-24 04:00:00,ZECUSD,186.1,190.0,170.33,171.54,6850.42474213
1634961600000,2021-10-23 04:00:00,ZECUSD,170.74,187.54,165.34,186.1,7924.97495328
1634875200000,2021-10-22 04:00:00,ZECUSD,161.04,170.97,156.98,170.74,5793.56029856
1634788800000,2021-10-21 04:00:00,ZECUSD,149.02,162.93,146.34,161.04,11583.44321818
1634702400000,2021-10-20 04:00:00,ZECUSD,145.4,152.44,145.4,149.02,2941.55627382
1634616000000,2021-10-19 04:00:00,ZECUSD,144.63,147.0,139.65,145.4,5227.34446058
1634529600000,2021-10-18 04:00:00,ZECUSD,136.73,146.27,134.45,144.63,6911.08239839
1634443200000,2021-10-17 04:00:00,ZECUSD,125.8,144.99,125.8,136.73,6603.86871884
1634356800000,2021-10-16 04:00:00,ZECUSD,124.96,128.0,123.84,125.8,4217.17527643
1634270400000,2021-10-15 04:00:00,ZECUSD,122.35,127.0,119.23,124.96,6823.98151128
1634184000000,2021-10-14 04:00:00,ZECUSD,120.13,123.29,119.44,122.35,261.20988766
1634097600000,2021-10-13 04:00:00,ZECUSD,117.96,121.08,113.15,120.13,2845.37651753
1634011200000,2021-10-12 04:00:00,ZECUSD,115.31,119.52,111.51,117.96,1137.4055789
1633924800000,2021-10-11 04:00:00,ZECUSD,121.18,122.77,114.47,115.31,1505.4313049
1633838400000,2021-10-10 04:00:00,ZECUSD,126.35,127.82,118.45,121.18,715.61833498
1633752000000,2021-10-09 04:00:00,ZECUSD,124.31,128.19,124.17,126.35,2252.87142779
1633665600000,2021-10-08 04:00:00,ZECUSD,126.35,127.58,122.19,124.31,2605.34132956
1633579200000,2021-10-07 04:00:00,ZECUSD,122.3,129.4,122.3,126.35,2995.22931709
1633492800000,2021-10-06 04:00:00,ZECUSD,122.19,127.0,121.27,122.3,2474.56250439
1633406400000,2021-10-05 04:00:00,ZECUSD,118.18,124.56,117.22,122.19,2206.16189149
1633320000000,2021-10-04 04:00:00,ZECUSD,114.62,118.81,112.89,118.18,3401.52104234
1633233600000,2021-10-03 04:00:00,ZECUSD,115.02,119.47,113.77,114.62,2166.79199734
